Image_name;Cell_id;RgbMean_r;RgbMean_g;RgbMean_b;Canny_thresh_10;Canny_thresh_15;Canny_thresh_20;Canny_thresh_25;Canny_thresh_30;Canny_thresh_35;Canny_thresh_40;Canny_thresh_45;Canny_thresh_50;Canny_thresh_55;Canny_thresh_60;Canny_thresh_65;Canny_thresh_70;Canny_thresh_75;Canny_thresh_80;Canny_thresh_85;Canny_thresh_90;Canny_thresh_95;Canny_thresh_100;Mean;Modus;Mean_dev;Modus_dev;Harris_Q0.02_D5;Harris_Q0.02_D10;Harris_Q0.02_D20;Harris_Q0.16_D5;Harris_Q0.16_D10;Harris_Q0.16_D20;Road;Main_road;Laws_W7_b;Laws_W7_o;Laws_W7_r;Laws_W7_v_r;Laws_W7_v_u;Laws_W11_b;Laws_W11_o;Laws_W11_r;Laws_W11_v_r;Laws_W11_v_u;Laws_W15_b;Laws_W15_o;Laws_W15_r;Laws_W15_v_r;Laws_W15_v_u;Laws_W31_b;Laws_W31_o;Laws_W31_r;Laws_W31_v_r;Laws_W31_v_u;b;v;r
47.39347|18.485087;0;27.0003;39.7882;42.7672;922;819;695;544;467;399;254;199;144;141;107;107;99;99;99;99;6;0;0;191.399;180;29.1612;32.6209;0;0;0;0;0;0;0;0;154;0;0;2844;846;460;0;0;2772;612;271;0;0;2735;838;0;0;0;2301;1543;0;2;0
47.39347|18.485087;1;40.5653;52.0369;52.1059;784;659;485;345;244;216;170;163;152;148;136;133;116;112;76;74;12;12;12;184.929;180;21.1297;21.8457;0;0;0;0;0;0;0;0;110;0;0;928;2806;530;0;0;304;3010;445;0;0;284;3115;0;0;0;263;3581;0;2;0
47.39347|18.485087;2;46.4638;64.2791;59.3939;872;687;514;402;351;318;275;265;206;204;174;174;173;172;170;169;166;163;0;168.122;164;17.8253;18.2958;0;0;0;0;0;0;0;0;379;0;0;589;2876;797;0;3;23;3021;1142;0;12;21;2669;4;0;83;0;3757;0;2;0
47.39347|18.485087;3;49.7776;68.4901;59.0346;720;573;355;300;226;215;184;177;156;153;140;107;61;61;60;59;59;57;14;153.033;140;22.682;26.1606;0;0;0;0;0;0;0;0;305;0;13;494;3032;311;0;18;458;3057;338;0;14;450;3042;355;0;2;329;3158;0;2;0
47.39347|18.485087;4;33.9698;47.5005;45.9815;706;524;314;255;217;202;161;125;114;114;114;114;114;114;112;112;112;112;0;178.188;210;29.1507;43.086;0;0;0;0;0;0;0;0;268;0;1;1729;1846;443;0;6;1692;1703;404;0;20;1681;1739;397;0;33;1522;1892;0;2;0
47.39347|18.485087;5;19.564;33.3946;38.1545;742;552;375;275;229;93;42;4;4;4;4;4;4;4;4;4;4;4;0;196.046;200;11.3285;11.9369;0;0;0;0;0;0;0;0;29;0;0;2307;1508;87;0;0;2317;1440;86;0;6;2283;1469;24;0;25;1834;1961;0;2;0
47.39347|18.485087;6;29.5822;50.6264;50.4748;492;142;27;23;12;12;0;0;0;0;0;0;0;0;0;0;0;0;0;179.764;180;6.52774;6.53201;0;0;0;0;0;0;0;0;124;0;0;192;3528;336;0;1;29;3478;107;0;11;25;3701;22;0;35;0;3787;0;2;0
47.39347|18.485087;7;30.4992;45.2781;45.845;640;545;289;269;233;188;172;168;157;135;112;98;93;0;0;0;0;0;0;181.701;180;15.406;15.4996;0;0;0;0;0;0;0;0;151;0;0;1323;2370;302;0;0;1257;2285;165;0;0;1322;2357;0;0;0;891;2953;0;2;0
47.39347|18.485087;8;47.5593;63.4904;58.9264;93;87;73;73;73;54;54;54;54;54;49;47;46;43;43;43;41;41;41;162.752;161;9.29796;9.46159;0;0;0;0;0;0;0;0;216;0;67;6;3555;184;0;89;4;3567;187;0;98;4;3555;13;0;0;0;3831;0;2;0
47.39347|18.485087;9;37.4451;45.2409;48.3569;905;846;760;663;572;480;308;152;126;103;87;84;3;0;0;0;0;0;0;184.198;0;66.4791;148.202;0;0;0;0;0;0;0;0;706;0;0;2021;1117;866;0;0;2027;951;718;0;0;2015;1111;19;0;0;1841;1984;0;2;0
47.39347|18.485087;10;58.5325;55.66;57.9802;951;912;822;819;801;788;681;637;603;555;544;515;496;470;397;310;303;286;281;171.337;0;115.564;114.586;16;9;4;3;2;2;36;0;1623;0;170;1394;657;1907;0;134;1255;548;2312;0;89;1178;265;2402;0;0;1252;190;2;1;0
47.39347|18.485087;11;25.186;36.365;40.02;947;851;744;669;520;417;330;282;247;227;224;203;171;168;131;131;131;128;87;194.153;210;23.818;27.0827;0;0;0;0;0;0;209;0;57;0;0;2918;869;333;0;0;2864;647;295;0;0;2906;643;0;0;0;2807;1037;0;2;0
47.39347|18.485087;12;38.8842;56.9238;51.7219;755;624;456;421;356;323;294;285;192;163;151;151;142;142;129;129;129;129;112;168.708;140;27.3744;39.6702;0;0;0;0;0;0;0;0;226;0;0;1309;2309;267;0;0;1158;2419;220;0;0;1198;2426;0;0;0;1143;2701;0;2;0
47.39347|18.485087;13;16.7763;27.4995;33.481;883;835;741;697;564;383;221;61;36;36;36;36;36;36;36;36;36;36;36;201.21;200;14.479;14.5529;0;0;0;0;0;0;0;0;3;0;0;3676;165;29;0;0;3716;99;41;0;0;3708;95;0;0;0;3648;196;0;2;0
47.39347|18.485087;14;23.115;36.1589;40.5749;892;771;611;581;482;390;194;120;12;12;10;10;3;0;0;0;0;0;0;194.796;180;11.9089;19.1402;0;0;0;0;0;0;0;0;17;0;0;2651;1176;47;0;0;2613;1184;4;0;0;2684;1156;0;0;0;2561;1283;0;2;0
47.39347|18.485087;15;27.8595;47.0445;48.3148;423;246;76;48;28;20;0;0;0;0;0;0;0;0;0;0;0;0;0;183.795;183;6.1351;6.18641;0;0;0;0;0;0;0;0;6;0;0;183;3655;12;0;0;80;3752;0;0;0;87;3757;0;0;0;47;3797;0;2;0
47.39347|18.485087;16;22.3163;37.9217;41.0705;588;358;291;201;120;91;78;77;77;77;77;77;77;77;77;0;0;0;0;191.271;183;15.0529;17.2211;0;0;0;0;0;0;0;0;30;0;0;1510;2304;32;0;0;1532;2280;21;0;0;1609;2214;0;0;0;1623;2221;0;2;0
47.39347|18.485087;17;28.6498;41.3455;42.7357;638;606;533;498;470;348;311;286;255;250;212;186;122;66;26;0;0;0;0;185.205;161;20.8933;32.0231;0;0;0;0;0;0;0;0;41;0;0;2116;1687;116;0;0;2253;1475;104;0;0;2276;1464;0;0;0;2075;1769;0;2;0
47.39347|18.485087;18;35.788;49.7898;48.2349;367;344;322;299;278;277;236;213;128;104;94;92;86;48;48;0;0;0;0;174.741;161;17.719;22.4241;0;0;0;0;0;0;0;0;103;0;0;1021;2720;87;0;0;1117;2640;77;0;0;1121;2646;0;0;0;907;2937;0;2;0
47.39347|18.485087;19;38.211;46.3642;49.3525;870;792;658;552;390;353;288;267;203;135;96;95;72;41;39;6;0;0;0;190.576;180;49.8678;53.2905;0;0;0;0;0;0;0;0;960;0;1;1610;1273;970;0;0;1447;1427;872;0;0;1444;1528;321;0;0;1407;2116;0;2;0
47.39347|18.485087;20;69.0312;63.3465;65.1829;1011;965;904;880;854;843;815;797;761;696;653;619;606;597;584;554;531;486;408;162.2;0;120.787;99.0003;11;5;5;0;0;0;629;0;1993;0;206;910;735;2243;0;227;828;546;2632;0;203;878;131;2859;0;96;740;149;2;1;1
47.39347|18.485087;21;30.826;37.8442;42.187;962;926;790;729;659;572;490;435;310;217;208;181;164;161;137;77;38;19;2;195.521;210;46.0605;43.9116;3;1;1;0;0;0;3;0;361;0;0;2684;799;436;0;0;2953;455;509;0;0;3022;313;16;0;0;3242;586;1;2;0
47.39347|18.485087;22;19.9269;29.9227;35.2633;1004;905;782;723;635;485;254;172;23;20;20;20;0;0;0;0;0;0;0;199.531;210;21.3051;22.5296;0;0;0;0;0;0;0;0;39;0;0;3618;187;45;0;0;3751;48;60;0;0;3737;47;0;0;0;3639;205;0;2;0
47.39347|18.485087;23;27.5996;41.5773;44.2159;831;790;736;635;588;552;406;332;168;163;126;120;118;34;27;27;27;27;27;188.034;180;20.8992;22.9547;0;0;0;0;0;0;0;0;333;0;0;2298;1213;407;0;0;2245;1192;332;0;0;2228;1284;0;0;0;2086;1758;0;2;0
47.39347|18.485087;24;28.8611;49.2066;49.7934;401;148;90;79;79;64;63;63;47;47;28;28;28;0;0;0;0;0;0;181.665;180;6.41529;6.62787;0;0;0;0;0;0;0;0;61;0;0;178;3605;51;0;0;47;3746;10;0;0;9;3825;0;0;0;0;3844;0;2;0
47.39347|18.485087;25;31.1051;47.1688;48.4828;576;377;168;92;88;86;65;62;59;59;5;5;5;5;0;0;0;0;0;184.151;180;18.8577;19.4698;0;0;0;0;0;0;0;0;240;0;0;356;3248;395;0;0;177;3272;286;0;0;15;3543;0;0;0;0;3844;0;2;0
47.39347|18.485087;26;30.6426;40.2903;43.2076;884;781;714;623;442;416;367;334;243;222;193;128;123;55;54;0;0;0;0;189.266;180;36.6392;39.6974;0;0;0;0;0;0;0;0;475;0;0;2188;1181;769;0;0;2138;937;446;0;0;2158;1240;0;0;0;2073;1771;0;2;0
47.39347|18.485087;27;15.8533;25.1623;32.2646;888;805;714;665;591;360;224;211;121;15;15;9;0;0;0;0;0;0;0;206.548;210;12.9091;13.2412;0;0;0;0;0;0;0;0;0;0;0;3755;89;0;0;0;3822;22;7;0;0;3837;0;0;0;0;3844;0;0;2;0
47.39347|18.485087;28;20.1022;30.9006;35.7583;1019;917;792;763;655;595;374;294;169;128;88;69;68;60;0;0;0;0;0;198.26;200;13.8767;13.8801;0;0;0;0;0;0;0;0;9;0;0;3602;233;2;0;0;3788;54;4;0;0;3823;17;0;0;0;3736;108;0;2;0
47.39347|18.485087;29;62.0125;63.0588;64.4532;961;911;831;726;560;529;468;342;290;235;150;145;144;113;112;60;18;0;0;159.98;0;112.532;117.126;0;0;0;0;0;0;0;0;1749;0;16;672;1407;1924;0;80;406;1434;1894;0;159;383;1408;656;0;650;311;2227;0;2;0
47.39347|18.485087;30;92.4646;78.1254;77.3686;997;945;916;914;863;851;797;789;785;762;725;694;685;636;624;587;516;499;443;93.2534;0;98.0038;69.3976;10;6;3;2;2;2;6;0;2157;0;596;429;662;2337;0;784;299;424;2636;0;867;263;78;3202;0;531;86;25;2;1;0
47.39347|18.485087;31;47.8413;50.6925;52.7136;987;920;861;765;741;705;670;633;568;530;457;443;421;408;295;211;206;173;125;168.369;180;89.581;91.3847;9;6;2;1;1;0;0;0;1219;0;54;1389;1182;1280;0;76;1368;1120;1440;0;107;1439;858;1386;0;1;1405;1052;1;2;0
47.39347|18.485087;32;55.2014;55.7578;57.4074;1001;963;857;818;741;634;538;468;405;353;331;320;225;220;184;148;118;112;93;151.759;0;101.129;121.606;3;3;2;1;1;1;148;0;1011;0;155;1660;1018;1020;0;309;1720;795;1009;0;331;1676;828;761;0;449;1527;1107;1;2;1
47.39347|18.485087;33;24.9324;36.5791;39.9006;942;886;827;720;628;570;482;435;308;291;238;175;141;101;71;70;28;28;28;189.602;180;27.499;30.1079;0;0;0;0;0;0;0;0;41;0;0;2987;816;71;0;0;3200;573;80;0;0;3303;461;0;0;0;3340;504;0;2;0
47.39347|18.485087;34;29.5512;43.6283;46.5221;540;381;252;222;138;126;126;111;110;96;94;94;93;89;77;65;32;0;0;189.385;180;19.326;21.9702;0;0;0;0;0;0;0;0;216;0;0;883;2745;351;0;0;751;2742;310;0;0;863;2671;0;0;0;864;2980;0;2;0
47.39347|18.485087;35;32.8114;41.2492;44.2562;702;487;461;350;305;300;227;225;218;188;158;157;156;155;51;50;0;0;0;182.837;180;45.4009;46.323;0;0;0;0;0;0;0;0;500;0;0;1477;1867;357;0;0;1533;1954;155;0;0;1599;2090;0;0;0;1550;2294;0;2;0
47.39347|18.485087;36;19.7825;27.795;33.3244;778;635;507;441;374;346;168;154;151;78;77;77;76;75;75;73;0;0;0;202.113;210;26.754;26.977;0;0;0;0;0;0;0;0;270;0;0;3311;263;218;0;0;3357;269;49;0;0;3371;424;0;0;0;3316;528;0;2;0
47.39347|18.485087;37;21.3959;29.8814;35.2994;918;854;776;699;633;545;313;295;191;82;79;79;77;40;37;37;37;37;37;200.771;210;39.6896;38.5397;0;0;0;0;0;0;0;0;118;0;0;3434;292;243;0;0;3410;191;235;0;0;3400;209;0;0;0;3393;451;0;2;0
47.39347|18.485087;38;28.0213;37.1522;41.8874;963;893;818;761;642;538;355;311;221;153;145;126;116;92;91;87;65;65;45;198.561;200;38.6532;38.4212;0;0;0;0;0;0;0;0;336;0;11;3116;381;491;0;0;3169;184;554;0;26;3133;131;277;0;92;3005;470;1;2;0
47.39347|18.485087;39;85.8254;74.9233;75.6163;942;876;779;748;719;638;517;466;406;317;296;173;168;150;119;117;111;54;26;146.764;0;139.75;53.7486;2;2;2;0;0;0;0;0;2425;0;52;111;1256;2620;0;67;0;1157;2659;0;254;0;931;1470;0;1723;48;603;1;0;1
47.39347|18.485087;40;49.475;55.469;56.9636;889;877;809;778;674;668;643;639;618;582;488;422;361;313;257;239;197;190;174;164.305;180;79.3035;81.2058;8;4;2;1;0;0;0;0;1136;0;67;1275;1366;1719;0;50;925;1150;2035;0;19;833;957;2203;0;0;842;799;1;2;0
47.39347|18.485087;41;108.829;93.2047;91.9605;1028;976;950;923;900;891;874;869;854;844;817;756;752;746;708;695;650;599;571;71.8452;0;79.8728;52.3209;16;8;5;2;1;1;387;0;2286;0;1065;181;312;2079;0;1464;85;216;1867;0;1860;67;50;2515;0;1317;12;0;2;1;1
