Image_name;Cell_id;RgbMean_r;RgbMean_g;RgbMean_b;Canny_thresh_10;Canny_thresh_15;Canny_thresh_20;Canny_thresh_25;Canny_thresh_30;Canny_thresh_35;Canny_thresh_40;Canny_thresh_45;Canny_thresh_50;Canny_thresh_55;Canny_thresh_60;Canny_thresh_65;Canny_thresh_70;Canny_thresh_75;Canny_thresh_80;Canny_thresh_85;Canny_thresh_90;Canny_thresh_95;Canny_thresh_100;Mean;Modus;Mean_dev;Modus_dev;Harris_Q0.02_D5;Harris_Q0.02_D10;Harris_Q0.02_D20;Harris_Q0.16_D5;Harris_Q0.16_D10;Harris_Q0.16_D20;Road;Main_road;Laws_W7_b;Laws_W7_o;Laws_W7_r;Laws_W7_v_r;Laws_W7_v_u;Laws_W11_b;Laws_W11_o;Laws_W11_r;Laws_W11_v_r;Laws_W11_v_u;Laws_W15_b;Laws_W15_o;Laws_W15_r;Laws_W15_v_r;Laws_W15_v_u;Laws_W31_b;Laws_W31_o;Laws_W31_r;Laws_W31_v_r;Laws_W31_v_u;b;v;r
47.0453|18.02154;0;96.3743;104.141;113.132;703;607;519;492;460;375;254;202;174;119;101;79;79;64;59;59;38;0;0;212.776;210;8.76382;9.19316;5;4;2;1;1;1;0;0;0;0;0;809;3035;0;0;0;864;2980;0;0;0;1243;2601;0;0;0;2333;1511;0;2;0
47.0453|18.02154;1;93.417;99.6238;109.93;967;901;771;722;656;549;527;465;425;358;313;303;222;216;148;139;129;61;41;218.293;225;12.6494;14.1854;20;12;6;2;1;1;0;0;0;0;0;1344;2500;0;0;0;1460;2384;0;0;0;1893;1951;0;0;0;3275;569;0;2;0
47.0453|18.02154;2;91.0338;99.9066;109.213;879;825;692;600;522;470;438;425;400;375;312;268;254;226;149;135;87;26;14;211.823;210;14.4616;14.6345;17;10;5;1;1;1;0;0;0;0;0;1075;2769;0;0;0;1400;2444;0;0;0;1951;1893;0;0;0;3739;105;0;2;0
47.0453|18.02154;3;86.885;94.5507;105.9;917;837;697;609;542;477;445;432;422;382;357;339;271;238;118;62;62;44;34;217.03;210;14.8479;16.6279;19;11;5;0;0;0;0;0;0;0;0;2018;1826;0;0;0;2216;1628;0;0;0;2563;1281;0;0;0;3838;6;0;2;0
47.0453|18.02154;4;81.4566;88.5398;101.043;1014;964;914;823;762;740;641;602;515;479;401;356;340;289;213;151;121;121;56;219.436;222;16.5316;16.4689;34;14;7;4;4;3;0;0;0;0;0;2922;922;0;0;0;3267;577;0;0;0;3595;249;0;0;0;3844;0;0;2;0
47.0453|18.02154;5;86.0788;93.699;105.284;1009;977;925;900;851;827;779;746;693;643;535;373;240;226;207;181;121;111;94;217.243;222;14.6252;15.1166;26;12;5;1;1;1;71;0;0;0;0;2322;1522;0;0;0;2798;1046;0;0;0;3274;570;0;0;0;3840;4;0;2;0
47.0453|18.02154;6;97.0434;108.296;115.496;723;528;218;152;140;140;124;123;104;104;104;95;95;95;75;75;52;51;50;203.411;203;11.6245;11.6516;2;2;2;0;0;0;404;0;0;0;0;276;3568;0;0;0;283;3561;0;0;0;330;3514;0;0;0;986;2858;0;2;0
47.0453|18.02154;7;99.9784;111.547;117.501;737;260;168;121;105;91;85;84;82;66;59;49;41;41;30;30;18;8;8;200.439;201;6.93625;6.95132;3;2;1;0;0;0;0;0;0;0;0;66;3778;0;0;0;20;3824;0;0;0;44;3800;0;0;0;210;3634;0;2;0
47.0453|18.02154;8;99.7633;112.116;117.608;660;324;175;127;104;81;44;43;43;38;38;38;38;33;32;32;31;24;0;198.343;191;8.397;11.1555;3;3;2;0;0;0;0;0;0;0;0;50;3794;0;0;0;8;3836;0;0;0;8;3836;0;0;0;311;3533;0;2;0
47.0453|18.02154;9;82.5671;93.9266;105.92;978;939;864;763;680;631;607;563;510;478;400;373;345;213;141;137;121;113;108;211.55;210;8.7822;8.93432;23;13;5;0;0;0;0;0;0;0;0;1858;1986;0;0;0;2193;1651;0;0;0;2949;895;0;0;0;3790;54;0;2;0
47.0453|18.02154;10;96.7768;107.874;114.657;934;751;497;435;398;329;303;246;225;213;201;171;133;125;106;99;96;63;0;203.183;203;13.1081;13.1107;7;4;2;1;1;1;0;0;0;0;0;519;3325;0;0;0;589;3255;0;0;0;835;3009;0;0;0;1980;1864;0;2;0
47.0453|18.02154;11;97.5669;106.772;114.589;830;639;492;471;454;443;406;369;303;276;253;227;157;90;79;78;76;76;53;207.611;210;14.0484;14.2187;13;8;4;0;0;0;0;0;0;0;0;652;3192;0;0;0;741;3103;0;0;0;943;2901;0;0;0;1999;1845;0;2;0
47.0453|18.02154;12;94.5747;102.049;112.129;839;789;709;573;481;428;365;317;276;257;204;173;165;150;139;117;89;88;79;215.466;210;14.2947;15.5037;10;6;2;1;1;1;0;0;0;0;0;681;3163;0;0;0;795;3049;0;0;0;1248;2596;0;0;0;3086;758;0;2;0
47.0453|18.02154;13;85.161;92.8998;104.319;993;939;860;845;827;802;760;737;681;629;578;499;427;371;252;167;155;153;84;217.037;220;15.542;15.5981;38;17;5;1;1;1;0;0;0;0;0;2349;1495;0;0;0;2718;1126;0;0;0;3375;469;0;0;0;3844;0;0;2;0
47.0453|18.02154;14;97.3153;106.304;114.63;858;759;707;666;628;587;491;482;440;398;377;343;296;224;181;159;131;119;92;208.94;210;21.0067;20.9388;17;9;3;0;0;0;0;0;0;0;0;937;2907;0;0;0;998;2846;0;0;0;1407;2437;0;0;0;3344;500;0;2;0
47.0453|18.02154;15;93.5268;102.491;111.908;878;781;697;664;615;568;546;487;445;411;363;324;301;262;161;153;126;119;73;211.445;210;15.6259;15.7357;21;11;5;0;0;0;454;0;0;0;0;1222;2622;0;0;0;1362;2482;0;0;0;1728;2116;0;0;0;3170;674;0;2;0
