Image_name;Cell_id;RgbMean_r;RgbMean_g;RgbMean_b;Canny_thresh_10;Canny_thresh_15;Canny_thresh_20;Canny_thresh_25;Canny_thresh_30;Canny_thresh_35;Canny_thresh_40;Canny_thresh_45;Canny_thresh_50;Canny_thresh_55;Canny_thresh_60;Canny_thresh_65;Canny_thresh_70;Canny_thresh_75;Canny_thresh_80;Canny_thresh_85;Canny_thresh_90;Canny_thresh_95;Canny_thresh_100;Mean;Modus;Mean_dev;Modus_dev;Harris_Q0.02_D5;Harris_Q0.02_D10;Harris_Q0.02_D20;Harris_Q0.16_D5;Harris_Q0.16_D10;Harris_Q0.16_D20;Road;Main_road;Laws_W7_b;Laws_W7_o;Laws_W7_r;Laws_W7_v_r;Laws_W7_v_u;Laws_W11_b;Laws_W11_o;Laws_W11_r;Laws_W11_v_r;Laws_W11_v_u;Laws_W15_b;Laws_W15_o;Laws_W15_r;Laws_W15_v_r;Laws_W15_v_u;Laws_W31_b;Laws_W31_o;Laws_W31_r;Laws_W31_v_r;Laws_W31_v_u;b;v;r
47.550033|18.966625;0;54.3247;54.807;59.858;1008;958;868;802;694;682;629;611;567;559;531;520;439;396;358;290;206;159;155;193.823;210;87.0493;77.565;13;7;4;1;1;1;539;0;2522;0;434;799;89;2426;0;761;492;165;2378;0;790;407;269;2492;0;1031;0;321;1;1;1
47.550033|18.966625;1;63.8835;66.3179;71.8842;997;939;901;838;809;751;694;648;625;584;563;540;488;486;465;381;312;209;160;216.46;210;50.7179;53.295;21;12;5;6;5;2;1024;0;2501;0;870;456;17;2011;0;1472;321;40;2073;0;1424;273;74;2787;0;1006;12;39;1;1;1
47.550033|18.966625;2;44.2341;48.2084;53.8442;972;917;857;826;797;769;688;667;623;588;508;465;464;460;442;428;401;344;245;203.284;210;57.6194;54.756;7;7;3;1;1;0;792;0;2389;0;229;1226;0;1672;0;1212;926;34;1683;0;1383;765;13;2847;0;849;131;17;1;1;1
47.550033|18.966625;3;39.6842;44.3478;49.8106;968;929;891;867;821;775;645;601;496;472;342;333;327;320;217;209;165;136;107;199.959;210;66.9568;63.252;7;5;4;0;0;0;105;0;2099;0;225;1514;6;1779;0;678;1383;4;1694;0;704;1446;0;2637;0;292;854;61;1;2;1
47.550033|18.966625;4;68.6852;65.5762;67.6176;991;957;920;901;869;830;759;748;715;691;680;667;606;533;473;449;438;435;374;175.74;0;114.27;109.53;13;10;3;0;0;0;898;0;2855;0;594;389;6;2379;0;1316;130;19;2530;0;1291;8;15;3006;0;832;0;6;1;1;1
47.550033|18.966625;5;48.352;51.5419;56.6509;992;936;884;869;808;790;671;629;533;518;486;473;426;407;387;380;353;318;150;207.302;0;69.2737;130.39;13;6;4;3;2;1;363;0;2339;0;392;1111;2;2130;0;796;905;13;2279;0;843;719;3;3373;0;405;66;0;1;2;1
47.550033|18.966625;6;42.8507;39.5879;44.7076;1009;955;895;863;788;773;693;618;524;496;415;385;331;328;282;243;241;238;204;190.525;0;99.2423;115.31;5;5;4;0;0;0;27;0;2060;0;106;1666;12;1812;0;543;1486;3;2006;0;478;1358;2;3272;0;84;472;16;1;2;0
47.550033|18.966625;7;55.9313;60.3369;64.0169;1010;973;921;874;794;778;713;679;634;614;553;546;510;504;399;392;372;366;314;191.552;210;68.2754;62.8895;19;9;4;6;5;3;616;0;2672;0;696;411;65;2504;0;1068;182;90;2467;0;1153;138;86;3275;0;520;0;49;1;1;1
47.550033|18.966625;8;48.0341;54.1844;58.8072;965;911;882;822;778;768;751;706;660;570;535;502;476;446;418;338;329;327;281;188.37;210;53.588;53.6618;7;6;4;1;1;1;360;0;2555;0;368;873;48;1958;0;1251;601;34;2083;0;1214;515;32;3256;0;185;403;0;1;1;1
47.550033|18.966625;9;29.3322;37.7201;44.0952;923;836;757;704;634;572;494;385;338;315;191;153;68;60;56;55;50;49;32;201.688;210;29.5552;30.14;3;3;2;1;1;1;504;0;1489;0;103;2093;159;1460;0;278;1979;127;1130;0;338;2148;228;880;0;235;2326;403;0;2;1
