Image_name;Cell_id;RgbMean_r;RgbMean_g;RgbMean_b;Canny_thresh_10;Canny_thresh_15;Canny_thresh_20;Canny_thresh_25;Canny_thresh_30;Canny_thresh_35;Canny_thresh_40;Canny_thresh_45;Canny_thresh_50;Canny_thresh_55;Canny_thresh_60;Canny_thresh_65;Canny_thresh_70;Canny_thresh_75;Canny_thresh_80;Canny_thresh_85;Canny_thresh_90;Canny_thresh_95;Canny_thresh_100;Mean;Modus;Mean_dev;Modus_dev;Harris_Q0.02_D5;Harris_Q0.02_D10;Harris_Q0.02_D20;Harris_Q0.16_D5;Harris_Q0.16_D10;Harris_Q0.16_D20;Road;Main_road;Laws_W7_b;Laws_W7_o;Laws_W7_r;Laws_W7_v_r;Laws_W7_v_u;Laws_W11_b;Laws_W11_o;Laws_W11_r;Laws_W11_v_r;Laws_W11_v_u;Laws_W15_b;Laws_W15_o;Laws_W15_r;Laws_W15_v_r;Laws_W15_v_u;Laws_W31_b;Laws_W31_o;Laws_W31_r;Laws_W31_v_r;Laws_W31_v_u;b;v;r
47.549998|19.033306;0;107.72;110.623;114.429;838;797;717;695;666;653;626;622;608;605;572;572;569;543;530;490;458;435;387;185.67;240;70.1347;72.6008;17;8;4;6;4;2;0;0;3233;0;307;177;127;3134;0;491;122;97;3354;0;375;76;39;3560;0;284;0;0;2;0;1
47.549998|19.033306;1;129.041;130.34;130.602;707;639;572;547;543;535;522;522;502;492;478;475;473;469;466;458;377;367;344;134.316;60;88.2745;109.836;8;6;4;1;1;1;0;0;2763;0;877;148;56;2862;0;809;119;54;2612;0;1179;41;12;3052;0;792;0;0;2;0;1
47.549998|19.033306;2;129.228;132.411;130.059;888;851;799;777;754;741;706;676;657;653;648;629;627;592;578;578;558;556;545;111.027;60;80.2315;91.6622;20;10;7;2;2;2;0;0;2883;0;922;8;31;2953;0;864;0;27;2785;0;1059;0;0;2696;0;1148;0;0;2;0;1
47.549998|19.033306;3;116.257;123.58;124.546;769;716;653;639;629;627;621;621;619;612;590;585;574;573;540;540;538;500;500;169.266;120;63.4077;79.4154;14;9;4;2;2;1;0;0;3056;0;490;153;145;3224;0;542;56;22;3192;0;637;0;15;3390;0;454;0;0;2;0;1
47.549998|19.033306;4;112.835;126.23;125.915;837;807;754;746;704;691;675;663;615;610;583;579;559;554;537;528;497;478;465;166.951;180;59.1556;60.5781;10;7;5;1;1;1;0;0;2841;0;757;108;138;3013;0;647;74;110;2776;0;954;0;114;2802;0;1021;0;21;2;0;1
47.549998|19.033306;5;93.6863;98.7302;102.971;938;897;838;753;721;677;631;579;539;527;515;512;505;481;447;436;401;401;381;190.557;210;57.2391;55.8372;14;7;4;2;1;1;66;0;2326;0;1249;131;138;2344;0;1320;104;76;2283;0;1492;44;25;2625;0;1161;0;58;2;0;1
47.549998|19.033306;6;53.9368;60.1069;67.9251;886;836;786;704;692;631;575;535;514;442;400;305;269;240;214;205;117;115;102;207.297;210;36.3846;35.892;3;3;2;1;1;1;831;0;1221;0;811;1452;360;1153;0;1051;1366;274;1320;0;1060;1157;307;1589;0;1766;471;18;1;1;1
47.549998|19.033306;7;57.8476;62.8892;70.4152;948;891;748;725;705;667;627;604;566;547;466;406;363;340;314;302;243;218;134;211.946;210;35.0036;35.4558;7;6;4;1;1;1;471;0;1640;0;910;1192;102;1526;0;1163;1086;69;1770;0;1105;893;76;2024;0;1799;21;0;2;1;1
47.549998|19.033306;8;71.1935;69.8595;75.2232;779;690;610;585;561;471;467;431;397;376;324;304;268;232;182;180;177;167;131;189.935;210;77.0619;67.6087;7;5;3;3;3;2;590;0;1386;0;1342;537;579;1256;0;1689;469;430;1614;0;1556;233;441;2580;0;1222;0;42;2;1;1
47.549998|19.033306;9;67.3603;79.3122;88.1621;856;717;568;521;516;433;370;340;335;334;333;333;333;328;303;299;296;279;260;197.091;213;47.8609;46.659;2;2;2;0;0;0;0;0;1185;0;2099;108;452;1262;0;1902;6;674;1396;0;1887;0;561;2663;0;1102;0;79;2;0;0
