Image_name;Cell_id;RgbMean_r;RgbMean_g;RgbMean_b;Canny_thresh_10;Canny_thresh_15;Canny_thresh_20;Canny_thresh_25;Canny_thresh_30;Canny_thresh_35;Canny_thresh_40;Canny_thresh_45;Canny_thresh_50;Canny_thresh_55;Canny_thresh_60;Canny_thresh_65;Canny_thresh_70;Canny_thresh_75;Canny_thresh_80;Canny_thresh_85;Canny_thresh_90;Canny_thresh_95;Canny_thresh_100;Mean;Modus;Mean_dev;Modus_dev;Harris_Q0.02_D5;Harris_Q0.02_D10;Harris_Q0.02_D20;Harris_Q0.16_D5;Harris_Q0.16_D10;Harris_Q0.16_D20;Road;Main_road;Laws_W7_b;Laws_W7_o;Laws_W7_r;Laws_W7_v_r;Laws_W7_v_u;Laws_W11_b;Laws_W11_o;Laws_W11_r;Laws_W11_v_r;Laws_W11_v_u;Laws_W15_b;Laws_W15_o;Laws_W15_r;Laws_W15_v_r;Laws_W15_v_u;Laws_W31_b;Laws_W31_o;Laws_W31_r;Laws_W31_v_r;Laws_W31_v_u;b;v;r
47.1735|18.569306;0;85.1199;78.0008;80.3541;967;935;885;869;839;825;798;744;705;694;661;618;588;568;542;519;486;434;357;202.807;0;126.131;68.5355;13;9;5;6;5;3;336;0;2194;0;773;69;808;2280;0;1025;48;491;2353;0;1162;90;239;2315;0;1204;44;281;2;1;1
47.1735|18.569306;1;75.8723;68.397;70.6722;944;881;827;813;789;775;758;749;739;723;697;682;620;566;526;498;450;418;321;192.665;0;132.253;75.1605;2;2;2;1;1;1;805;0;1935;0;509;105;1295;2304;0;474;87;979;2240;0;640;90;874;1288;0;1630;50;876;1;1;1
47.1735|18.569306;2;53.8608;50.8699;54.627;980;937;874;846;826;802;727;709;693;679;652;628;566;515;465;406;305;229;129;192.722;0;104.264;106.285;4;3;0;0;0;0;56;0;1547;0;0;217;2080;1787;0;21;143;1893;1887;0;18;176;1763;1299;0;105;527;1913;1;2;0
47.1735|18.569306;3;74.0658;64.9597;67.0507;989;955;911;874;832;815;796;750;701;675;632;628;584;578;518;488;431;423;367;185.922;0;139.256;71.7956;7;5;3;0;0;0;545;0;1925;0;440;107;1372;2385;0;520;32;907;2639;0;753;17;435;1885;0;1614;0;345;1;1;1
47.1735|18.569306;4;60.0822;55.9186;59.2118;980;919;788;721;697;681;649;604;536;526;484;446;326;294;255;213;205;205;171;211.358;0;99.8687;93.4509;6;5;3;3;2;2;0;0;1605;0;55;142;2042;1979;0;88;63;1714;1996;0;152;16;1680;2030;0;30;0;1784;1;2;0
47.1735|18.569306;5;47.064;46.8296;50.8902;969;948;892;846;778;696;620;570;526;475;400;334;318;308;251;239;216;190;129;187.014;0;90.1715;124.155;4;4;3;1;1;1;0;0;909;0;70;511;2354;1032;0;65;416;2331;1308;0;38;451;2047;634;0;235;1237;1738;1;2;0
47.1735|18.569306;6;66.8871;63.1587;65.9878;922;888;824;775;714;677;641;613;599;552;458;448;381;340;330;324;249;247;211;187.643;0;116.572;98.7658;1;1;1;0;0;0;557;0;1362;0;433;109;1940;1419;0;603;44;1778;1218;0;860;11;1755;397;0;1365;59;2023;1;2;1
47.1735|18.569306;7;58.6038;54.9079;59.3088;949;879;831;800;789;656;595;525;487;412;380;315;265;219;172;171;167;151;150;185.573;0;96.677;118.322;1;1;1;0;0;0;0;0;705;0;382;481;2276;776;0;416;265;2387;678;0;468;113;2585;125;0;852;103;2764;1;2;0
47.1735|18.569306;8;38.8476;42.1358;48.0499;889;857;816;763;691;656;613;503;308;257;138;135;120;106;105;103;62;59;55;215.168;240;39.7877;39.4767;0;0;0;0;0;0;0;0;421;0;13;775;2635;472;0;32;615;2725;498;0;27;694;2625;368;0;0;15;3461;0;2;0
47.1735|18.569306;9;31.8442;37.5343;43.6998;943;851;729;662;598;550;462;319;146;124;27;0;0;0;0;0;0;0;0;208.82;210;29.1347;28.9035;0;0;0;0;0;0;0;0;58;0;0;833;2953;106;0;6;632;3100;156;0;3;634;3051;182;0;5;98;3559;0;2;0
47.1735|18.569306;10;49.3252;50.8835;55.6537;960;907;804;748;685;673;589;541;418;379;305;276;236;197;170;169;166;165;156;218.426;210;69.0257;73.3539;2;2;2;0;0;0;218;0;920;0;143;563;2218;980;0;167;424;2273;969;0;177;347;2351;679;0;20;501;2644;1;2;0
47.1735|18.569306;11;62.7529;60.7365;63.8252;915;809;628;601;588;522;510;475;467;433;406;378;372;330;296;169;138;136;113;226.572;0;87.1547;92.3846;2;1;1;1;1;1;427;0;1231;0;357;112;2144;1452;0;394;42;1956;1353;0;592;86;1813;497;0;920;135;2292;1;2;1
47.1735|18.569306;12;56.2287;56.9269;60.5632;958;910;850;815;766;740;708;660;634;620;520;487;402;358;255;249;169;166;124;199.181;0;83.6143;121.996;6;4;2;1;1;1;120;0;1057;0;208;212;2367;1278;0;127;103;2336;1381;0;105;60;2298;1607;0;43;21;2173;1;2;1
47.1735|18.569306;13;78.2901;66.9553;68.6613;994;959;900;891;857;812;737;704;670;657;624;585;545;502;457;345;337;336;335;170.368;0;148.452;63.9153;6;5;3;1;1;1;140;0;2206;0;318;90;1230;2613;0;379;20;832;2804;0;467;0;573;2337;0;971;0;536;2;2;1
47.1735|18.569306;14;84.8015;73.3444;75.0372;1047;1016;983;946;902;890;845;788;767;718;668;664;655;648;609;604;600;560;534;174.182;0;152.377;61.5236;11;9;5;1;1;1;409;0;2019;0;608;118;1099;2206;0;746;49;843;2288;0;890;118;548;2446;0;977;0;421;2;1;1
47.1735|18.569306;15;70.0395;65.5278;67.7963;903;805;726;633;569;518;470;443;395;365;335;239;230;217;204;198;176;136;127;194.864;0;123.436;89.6532;3;3;1;1;1;1;0;0;1871;0;70;105;1798;1895;0;198;11;1740;1629;0;198;0;2017;1120;0;606;0;2118;1;2;0
47.1735|18.569306;16;67.1493;59.8949;61.8213;888;814;725;678;640;589;524;496;488;468;459;446;422;403;394;394;392;367;359;171.748;0;136.908;79.4482;8;6;2;1;1;1;213;0;1561;0;363;208;1712;1685;0;515;117;1527;1666;0;655;145;1378;1574;0;704;260;1306;1;2;1
47.1735|18.569306;17;44.2625;47.2633;51.7232;921;844;800;754;685;614;559;419;388;316;181;158;79;54;54;54;54;54;51;203.325;210;70.6758;67.3283;0;0;0;0;0;0;346;0;366;0;125;466;2887;283;0;192;374;2995;296;0;276;556;2716;485;0;0;424;2935;0;2;1
47.1735|18.569306;18;28.6348;34.5494;41.3587;936;870;784;711;596;504;411;279;211;150;111;86;58;33;0;0;0;0;0;209.658;210;24.4301;24.3498;0;0;0;0;0;0;0;0;0;0;0;1039;2805;0;0;0;833;3011;0;0;0;1194;2650;0;0;0;0;3844;0;2;0
47.1735|18.569306;19;31.3931;36.8153;43.1236;981;910;773;657;573;552;366;144;0;0;0;0;0;0;0;0;0;0;0;211.089;210;25.058;25.3124;0;0;0;0;0;0;0;0;15;0;0;936;2893;30;0;0;760;3054;32;0;0;846;2966;0;0;0;243;3601;0;2;0
47.1735|18.569306;20;51.1878;50.5817;54.6847;971;903;822;783;751;719;659;569;518;472;395;357;335;306;285;245;177;113;103;211.463;210;85.0509;85.964;1;1;0;0;0;0;327;0;1089;0;145;392;2218;1262;0;143;273;2166;1343;0;188;215;2098;1054;0;158;571;2061;1;2;1
47.1735|18.569306;21;71.1608;66.8262;69.3408;913;842;745;692;655;612;578;564;547;542;515;482;454;391;390;387;293;266;265;198.023;0;120.13;79.3828;3;3;3;1;1;1;0;0;1266;0;343;123;2112;1412;0;369;32;2031;1513;0;424;4;1903;943;0;633;0;2268;1;2;0
47.1735|18.569306;22;65.839;62.1647;65.0788;916;886;855;837;775;733;701;687;654;617;590;545;511;506;413;411;331;322;309;178.313;0;126.387;93.2575;6;3;2;2;2;2;547;0;1387;0;550;263;1644;1568;0;686;179;1411;1884;0;744;113;1103;2292;0;1050;0;502;1;2;1
47.1735|18.569306;23;65.0952;60.9074;63.8528;932;885;803;774;737;709;686;656;632;621;576;552;499;439;333;320;292;249;206;207.688;0;106.067;89.8117;6;5;3;0;0;0;0;0;2085;0;140;80;1539;2561;0;244;2;1037;2643;0;215;0;986;2372;0;47;0;1425;1;2;0
47.1735|18.569306;24;90.1454;78.3772;79.3049;916;911;867;847;827;800;769;764;738;716;687;668;634;630;555;552;541;538;511;147.894;0;144.076;49.0309;4;3;1;0;0;0;584;0;2099;0;824;37;884;2300;0;1063;25;456;2493;0;1112;0;239;1823;0;1997;0;24;1;1;1
